name,source,url,category
Top News,CNBC,https://search.cnbc.com/rs/search/combinedcms/view.xml?partnerId=wrss01&id=100003114,NEWS
World News,CNBC,https://search.cnbc.com/rs/search/combinedcms/view.xml?partnerId=wrss01&id=100727362,NEWS
US News,CNBC,https://search.cnbc.com/rs/search/combinedcms/view.xml?partnerId=wrss01&id=15837362,NEWS
Asia News,CNBC,https://search.cnbc.com/rs/search/combinedcms/view.xml?partnerId=wrss01&id=19832390,NEWS
Europe News,CNBC,https://search.cnbc.com/rs/search/combinedcms/view.xml?partnerId=wrss01&id=19794221,NEWS
Business,CNBC,https://search.cnbc.com/rs/search/combinedcms/view.xml?partnerId=wrss01&id=10001147,NEWS
Economy,CNBC,https://search.cnbc.com/rs/search/combinedcms/view.xml?partnerId=wrss01&id=20910258,NEWS
Finance,CNBC,https://search.cnbc.com/rs/search/combinedcms/view.xml?partnerId=wrss01&id=10000664,NEWS
Technology,CNBC,https://search.cnbc.com/rs/search/combinedcms/view.xml?partnerId=wrss01&id=19854910,NEWS
Politics,CNBC,https://search.cnbc.com/rs/search/combinedcms/view.xml?partnerId=wrss01&id=10000113,NEWS
Wealth,CNBC,https://search.cnbc.com/rs/search/combinedcms/view.xml?partnerId=wrss01&id=10001054,NEWS
Investing,CNBC,https://search.cnbc.com/rs/search/combinedcms/view.xml?partnerId=wrss01&id=15839069,NEWS
Financial Advisors,CNBC,https://search.cnbc.com/rs/search/combinedcms/view.xml?partnerId=wrss01&id=100646281,NEWS
Personal Finance,CNBC,https://search.cnbc.com/rs/search/combinedcms/view.xml?partnerId=wrss01&id=21324812,NEWS
Market Insider,CNBC,https://search.cnbc.com/rs/search/combinedcms/view.xml?partnerId=wrss01&id=20409666,NEWS
